marriage_id,marriage_number,age_at_marriage,age_gap_years,education_level,household_income_usd,financial_stress,both_employed,cohabited_before,premarital_counseling,child_before_marriage,n_children,religious_attendance,criticism,contempt,defensiveness,stonewalling,repair_attempt_success,positive_negative_ratio,conflict_frequency_weekly,shared_activities_weekly,years_married,years_to_divorce,divorced
MAR000000,1,36,6,less_than_hs,68600.0,5.9,1,1,0,0,2,never,4.8,7.7,5.8,8.1,4.1,2.22,3.0,4.0,22.0,,0
MAR000001,2,59,1,some_college,328800.0,0.0,1,1,0,0,3,never,0.2,1.7,6.8,3.0,5.1,11.99,1.0,1.0,15.5,,0
MAR000002,2,44,1,high_school,139900.0,6.1,0,0,1,0,1,never,5.2,6.5,4.2,4.8,5.7,2.27,4.0,2.0,7.2,,0
MAR000003,1,25,2,bachelors,97600.0,5.9,1,1,1,0,2,rarely,3.7,0.0,4.1,0.9,8.7,6.24,0.0,4.0,13.5,,0
MAR000004,2,29,3,graduate,98200.0,4.0,0,0,1,0,2,rarely,5.4,4.4,4.6,9.6,8.9,2.59,4.0,5.0,7.5,7.5,1
MAR000005,1,29,4,graduate,170700.0,6.2,1,0,1,0,2,rarely,7.1,4.2,5.5,0.0,5.7,4.29,2.0,5.0,7.4,,0
MAR000006,1,34,1,graduate,149500.0,2.3,1,0,0,0,0,monthly,5.6,1.6,4.9,2.8,6.5,4.27,2.0,2.0,12.6,,0
MAR000007,1,29,3,some_college,127100.0,4.3,1,1,0,0,1,monthly,6.2,2.1,3.9,1.4,1.9,5.07,1.0,4.0,20.3,,0
MAR000008,1,31,1,high_school,55200.0,8.8,0,1,0,0,0,rarely,0.5,2.0,3.9,3.5,6.6,1.46,1.0,3.0,19.6,,0
MAR000009,1,28,3,some_college,192000.0,2.7,1,1,0,0,1,rarely,3.4,2.4,3.4,1.2,10.0,5.82,3.0,6.0,5.3,5.3,1
MAR000010,1,26,1,some_college,111700.0,2.5,1,1,1,0,2,monthly,4.0,6.7,1.3,5.9,4.5,1.43,2.0,3.0,4.8,,0
MAR000011,1,30,4,bachelors,57500.0,2.3,0,1,0,0,2,never,6.8,0.2,3.5,3.2,5.3,7.21,4.0,4.0,5.1,,0
MAR000012,1,19,2,high_school,38000.0,4.4,1,0,0,0,0,rarely,6.7,7.7,5.0,4.8,4.4,2.75,5.0,2.0,4.5,4.5,1
MAR000013,1,31,3,high_school,58400.0,6.2,0,1,0,0,0,rarely,7.0,8.5,3.4,1.9,6.0,2.94,3.0,1.0,3.9,3.9,1
MAR000014,1,32,5,less_than_hs,67200.0,5.1,1,1,0,0,0,never,5.9,5.0,5.5,8.5,4.8,3.52,4.0,0.0,13.2,13.2,1
MAR000015,1,17,2,some_college,36600.0,9.8,1,0,0,0,0,rarely,4.8,6.5,6.7,0.0,4.6,4.13,3.0,6.0,24.9,,0
MAR000016,1,31,8,high_school,58000.0,3.6,0,0,0,0,2,monthly,7.4,0.0,4.8,6.3,5.3,1.28,3.0,5.0,9.4,9.4,1
MAR000017,1,24,5,high_school,59300.0,8.3,0,1,0,0,0,monthly,9.7,4.5,4.6,3.0,3.7,1.03,2.0,4.0,16.1,16.1,1
MAR000018,2,22,6,graduate,192100.0,6.3,1,1,0,0,1,rarely,6.6,3.7,7.1,4.1,1.8,3.47,4.0,0.0,7.3,7.3,1
MAR000019,2,41,2,some_college,73100.0,6.2,0,0,1,0,2,monthly,4.1,4.8,5.5,6.8,2.1,0.66,2.0,2.0,10.1,,0
MAR000020,2,51,1,high_school,21600.0,6.8,0,1,1,0,2,weekly,6.8,6.5,6.0,5.6,4.1,2.97,4.0,4.0,5.8,,0
MAR000021,1,22,0,bachelors,157700.0,2.8,0,1,0,0,4,rarely,5.9,3.5,9.0,5.3,0.0,2.78,4.0,2.0,6.4,6.4,1
MAR000022,2,26,3,bachelors,152600.0,9.8,0,1,0,0,0,weekly,4.7,2.9,9.1,4.6,6.9,10.62,2.0,4.0,5.3,,0
MAR000023,1,28,7,some_college,202800.0,1.3,1,0,0,0,1,never,3.5,1.1,4.0,5.0,6.1,4.01,1.0,2.0,5.2,,0
MAR000024,1,23,2,some_college,69300.0,7.7,0,1,1,0,1,weekly,2.3,5.1,6.5,4.5,2.4,3.17,3.0,2.0,11.9,11.9,1
MAR000025,1,29,4,high_school,117900.0,3.0,1,1,0,0,1,never,4.8,3.5,6.8,6.9,5.3,1.92,2.0,0.0,6.9,6.9,1
MAR000026,1,29,9,high_school,34700.0,10.0,1,1,0,1,1,monthly,7.8,2.2,7.7,5.4,4.3,1.01,3.0,3.0,2.5,2.5,1
MAR000027,1,33,0,bachelors,153400.0,3.6,0,1,0,0,2,never,0.0,8.5,6.2,5.3,0.0,2.03,1.0,3.0,11.3,,0
MAR000028,1,22,1,some_college,63000.0,7.5,0,1,0,0,3,weekly,0.7,4.6,6.2,6.1,5.7,1.77,3.0,0.0,6.5,6.5,1
MAR000029,1,25,2,some_college,146500.0,6.7,1,1,0,0,5,never,0.2,1.4,2.8,6.4,5.0,5.93,3.0,1.0,7.1,,0
MAR000030,1,27,2,some_college,117300.0,3.6,1,1,0,0,2,monthly,0.0,0.9,2.7,5.4,7.4,1.09,2.0,3.0,16.0,,0
